"V2" "V3" "V4"
"279" 600340 6745000 2740
"280" 600340 6745000 2740.4
"281" 600340 6745000 2738.1
"282" 600340 6745000 2733.3
"283" 600340 6745100 2723.5
"284" 600340 6745100 2713.4
"285" 600340 6745100 2705.8
"286" 600340 6745200 2701.2
"287" 600340 6745200 2698.8
"288" 600370 6744400 2824
"289" 600370 6744400 2815
"290" 600370 6744400 2811.1
"291" 600370 6744400 2810.1
"292" 600370 6744500 2808.8
"293" 600370 6744500 2805.6
"294" 600370 6744500 2800.3
"295" 600370 6744600 2794.6
"296" 600370 6744600 2788.7
"297" 600370 6744600 2781.8
"298" 600370 6744600 2773.9
"299" 600370 6744700 2765.8
"300" 600370 6744700 2757.6
"301" 600370 6744700 2750.3
"302" 600370 6744800 2744.8
"303" 600370 6744800 2740.9
"304" 600370 6744800 2737.8
"305" 600370 6744900 2736.3
"306" 600370 6744900 2735.9
"307" 600370 6744900 2736.2
"308" 600370 6745000 2737
"309" 600370 6745000 2736.9
"310" 600370 6745000 2734.6
"311" 600370 6745000 2728.4
"312" 600370 6745100 2718.6
"313" 600370 6745100 2708.8
"314" 600370 6745100 2701
"315" 600370 6745200 2695.8
"316" 600370 6745200 2692.7
"317" 600370 6745200 2691.9
"318" 600370 6745200 2694.1
"319" 600400 6744400 2813.9
"320" 600400 6744400 2808.3
"321" 600400 6744400 2806.8
"322" 600400 6744400 2807.2
"323" 600400 6744500 2806.9
"324" 600400 6744500 2803.4
"325" 600400 6744500 2797.8
"326" 600400 6744600 2791.4
"327" 600400 6744600 2784.9
"328" 600400 6744600 2778.7
"329" 600400 6744600 2771.7
"330" 600400 6744700 2763.7
"331" 600400 6744700 2754.8
"332" 600400 6744700 2747.7
"333" 600400 6744800 2742.2
"334" 600400 6744800 2737.7
"335" 600400 6744800 2735
"336" 600400 6744900 2733.6
"337" 600400 6744900 2733
"338" 600400 6744900 2733.2
"339" 600400 6745000 2733.4
"340" 600400 6745000 2733.2
"341" 600400 6745000 2730.8
"342" 600400 6745000 2723.4
"343" 600400 6745100 2713.9
"344" 600400 6745100 2704.5
"345" 600400 6745100 2696.7
"346" 600400 6745200 2691.3
"347" 600400 6745200 2688.3
"348" 600400 6745200 2688.1
"349" 600400 6745200 2689.1
"350" 600400 6745300 2692.2
"351" 600430 6743900 2871.9
"352" 600430 6743900 2861.4
"353" 600430 6744000 2836.8
"354" 600430 6744400 2801.1
"355" 600430 6744400 2800.2
"356" 600430 6744400 2801.8
"357" 600430 6744400 2804.5
"358" 600430 6744500 2804.6
"359" 600430 6744500 2801.4
"360" 600430 6744500 2795.6
"361" 600430 6744600 2788.9
"362" 600430 6744600 2782.1
"363" 600430 6744600 2775.7
"364" 600430 6744600 2768.6
"365" 600430 6744700 2760.7
"366" 600430 6744700 2752.5
"367" 600430 6744700 2745.3
"368" 600430 6744800 2739.6
"369" 600430 6744800 2734.8
"370" 600430 6744800 2732.1
"371" 600430 6744900 2731.2
"372" 600430 6744900 2731.4
"373" 600430 6744900 2731
"374" 600430 6745000 2729.9
"375" 600430 6745000 2728.9
"376" 600430 6745000 2726
"377" 600430 6745000 2718
"378" 600430 6745100 2708.6
"379" 600430 6745100 2699.3
"380" 600430 6745100 2691.6
"381" 600430 6745200 2686.6
"382" 600430 6745200 2684
"383" 600430 6745200 2683.6
"384" 600430 6745200 2685.1
"385" 600430 6745300 2688.3
"386" 600430 6745300 2692.2
"387" 600460 6743800 2855.4
"388" 600460 6743900 2854.6
"389" 600460 6743900 2850.7
"390" 600460 6743900 2830.8
"391" 600460 6744000 2792.7
"392" 600460 6744400 2789.1
"393" 600460 6744400 2793.9
"394" 600460 6744400 2798.6
"395" 600460 6744500 2800.2
"396" 600460 6744500 2799
"397" 600460 6744500 2794.1
"398" 600460 6744600 2787.4
"399" 600460 6744600 2780.3
"400" 600460 6744600 2773
"401" 600460 6744600 2765.6
"402" 600460 6744700 2757.5
"403" 600460 6744700 2751.2
"404" 600460 6744700 2742.7
"405" 600460 6744800 2736.9
"406" 600460 6744800 2732.4
"407" 600460 6744800 2729.6
"408" 600460 6744900 2729.2
"409" 600460 6744900 2727.5
"410" 600460 6744900 2727.1
"411" 600460 6745000 2726.2
"412" 600460 6745000 2725.6
"413" 600460 6745000 2720.6
"414" 600460 6745000 2712.3
"415" 600460 6745100 2702.9
"416" 600460 6745100 2693.7
"417" 600460 6745100 2686.6
"418" 600460 6745200 2681.9
"419" 600460 6745200 2679.2
"420" 600460 6745200 2678.9
"421" 600460 6745200 2680.7
"422" 600460 6745300 2683.9
"423" 600460 6745300 2687.5
"424" 600460 6745300 2692.1
"425" 600490 6743800 2857.1
"426" 600490 6743800 2851.3
"427" 600490 6743900 2835.9
"428" 600490 6743900 2815.3
"429" 600490 6743900 2787.3
"430" 600490 6744000 2759.8
"431" 600490 6744400 2782.9
"432" 600490 6744400 2789.7
"433" 600490 6744500 2793.9
"434" 600490 6744500 2793.8
"435" 600490 6744500 2790.7
"436" 600490 6744600 2784.7
"437" 600490 6744600 2778
"438" 600490 6744600 2770.7
"439" 600490 6744600 2763.5
"440" 600490 6744700 2755.5
"441" 600490 6744700 2747.9
"442" 600490 6744700 2740.9
"443" 600490 6744800 2734.9
"444" 600490 6744800 2730.3
"445" 600490 6744800 2727.1
"446" 600490 6744900 2724.3
"447" 600490 6744900 2723.5
"448" 600490 6744900 2722.8
"449" 600490 6745000 2722.3
"450" 600490 6745000 2721.4
"451" 600490 6745000 2715
"452" 600490 6745000 2706.5
"453" 600490 6745100 2697.1
"454" 600490 6745100 2688.3
"455" 600490 6745100 2682.1
"456" 600490 6745200 2677.7
"457" 600490 6745200 2674.8
"458" 600490 6745200 2675
"459" 600490 6745200 2676.9
"460" 600490 6745300 2679.7
"461" 600490 6745300 2682.7
"462" 600490 6745300 2685.4
"463" 600490 6745400 2688.6
"464" 600520 6743800 2857.9
"465" 600520 6743800 2856.9
"466" 600520 6743800 2841.1
"467" 600520 6743900 2803.6
"468" 600520 6743900 2778.2
"469" 600520 6743900 2761.6
"470" 600520 6744000 2759.7
"471" 600520 6744400 2770.1
"472" 600520 6744400 2779.8
"473" 600520 6744500 2785.6
"474" 600520 6744500 2785.2
"475" 600520 6744500 2783.1
"476" 600520 6744600 2780.1
"477" 600520 6744600 2775.3
"478" 600520 6744600 2768.5
"479" 600520 6744600 2759.9
"480" 600520 6744700 2751.6
"481" 600520 6744700 2743.6
"482" 600520 6744700 2736.1
"483" 600520 6744800 2730.1
"484" 600520 6744800 2725.5
"485" 600520 6744800 2722.1
"486" 600520 6744900 2719.5
"487" 600520 6744900 2718.5
"488" 600520 6744900 2717.9
"489" 600520 6745000 2718.1
"490" 600520 6745000 2715.6
"491" 600520 6745000 2709.3
"492" 600520 6745000 2701
"493" 600520 6745100 2691.9
"494" 600520 6745100 2683.8
"495" 600520 6745100 2678.3
"496" 600520 6745200 2674.2
"497" 600520 6745200 2671.9
"498" 600520 6745200 2672.1
"499" 600520 6745200 2673.8
