"V1" "V2" "V3"
"455" 601840 6743420 2251.41
"456" 602260 6743300 2224.87
"457" 600370 6744470 2808.843
"458" 602290 6744680 2425.712
"459" 601660 6745160 2534.391
"460" 600940 6745070 2637.743
"461" 601240 6745280 2564.191
"462" 601570 6745850 2689.852
"463" 602530 6743630 2267.305
"464" 602080 6742850 2145.872
"465" 601360 6746090 2654.656
"466" 601600 6744380 2433.222
"467" 601870 6745310 2521.072
"468" 601810 6744950 2503.767
"469" 601480 6745610 2573.798
"470" 601660 6743930 2336.025
"471" 602800 6744890 2646.017
"472" 601930 6743450 2248.265
"473" 602860 6743810 2392.563
"474" 601210 6743840 2413.539
"475" 602020 6744170 2374.262
"476" 601630 6745970 2726.372
"477" 602500 6744530 2396.659
"478" 601900 6743060 2187.196
"479" 600940 6744920 2648.681
"480" 601420 6744410 2446.508
"481" 601210 6745850 2624.064
"482" 600820 6745130 2648.258
"483" 601960 6743120 2199.747
"484" 603190 6744410 2567.713
"485" 600340 6744530 2803.832
"486" 602350 6744290 2378.758
"487" 601900 6744620 2461.11
"488" 601450 6744470 2449.449
"489" 601120 6744050 2432.784
"490" 602350 6744500 2403.455
"491" 601810 6743690 2287.681
"492" 600640 6743810 2723.643
"493" 601660 6745520 2554.166
"494" 601360 6745640 2583.934
"495" 600940 6744170 2495.172
"496" 602380 6742910 2130.009
"497" 601690 6745280 2536.474
"498" 602950 6744380 2569.438
"499" 601330 6745130 2557.74
"500" 601510 6743780 2340.169
"501" 602980 6745100 2766.343
"502" 602230 6743030 2162.363
"503" 602950 6744770 2664.877
"504" 602350 6744590 2413.704
"505" 600190 6744350 2898.689
"506" 601540 6745010 2541.177
"507" 601510 6744590 2453.909
"508" 601480 6745460 2553.789
"509" 600430 6745280 2688.265
"510" 601420 6745010 2550.316
"511" 601990 6745310 2510.831
"512" 601960 6743360 2229.781
"513" 600280 6745130 2731.263
"514" 601690 6745370 2536.268
"515" 600460 6743960 2792.743
"516" 602050 6743570 2260.205
"517" 601060 6743510 2673.625
"518" 603250 6744950 2714.186
"519" 602260 6742520 2085.41
"520" 600550 6745070 2687.748
"521" 602290 6742850 2130.146
"522" 602260 6743990 2314.682
"523" 602500 6743240 2220.658
"524" 600310 6744950 2742.969
"525" 602560 6743810 2280.273
"526" 600760 6743720 2698.383
"527" 603100 6744380 2559.876
"528" 601990 6745040 2490.897
"529" 602350 6742730 2113.897
"530" 602890 6744830 2659.709
"531" 600520 6744530 2783.142
"532" 601060 6743780 2453.905
"533" 601150 6745790 2621.183
"534" 601720 6744680 2463.799
"535" 601210 6745970 2650.576
"536" 601960 6743240 2210.364
"537" 602680 6743660 2293.027
"538" 600850 6745070 2649.375
"539" 601930 6743780 2299.209
"540" 601780 6743990 2351.44
"541" 602200 6743690 2280.846
"542" 600430 6745010 2726.008
"543" 601090 6744980 2611.115
"544" 603190 6744830 2695.547
"545" 602230 6742400 2052.625
"546" 601720 6745130 2526.918
"547" 600820 6745280 2648.022
"548" 601780 6743390 2260.343
"549" 600340 6744620 2784.207
"550" 600160 6744830 2788.919
"551" 602470 6743690 2280.422
"552" 601450 6745700 2603.865
"553" 601870 6745940 2890.631
"554" 601300 6745340 2569.896
"555" 600070 6744320 2919.312
"556" 602320 6743060 2162.419
"557" 602110 6744680 2443.941
"558" 602500 6743870 2294.944
"559" 600520 6743840 2841.145
"560" 602080 6743060 2183.225
"561" 600250 6745040 2754.209
"562" 601210 6745790 2614.613
"563" 602350 6743510 2260.54
"564" 599980 6744530 2908.834
"565" 600640 6744980 2695.827
"566" 600760 6745160 2648.371
"567" 602590 6744320 2357.844
"568" 602500 6744290 2362.737
"569" 602170 6742280 2036.861
"570" 602410 6743330 2238.158
"571" 601600 6745220 2543.604
"572" 602140 6743030 2172.03
"573" 602980 6744620 2640.203
"574" 601870 6744920 2486.728
"575" 602620 6743450 2252.898
"576" 601210 6745370 2570.928
"577" 601690 6743690 2295.179
"578" 602020 6742190 1994.662
"579" 603070 6744620 2641.698
"580" 602140 6744560 2417.561
"581" 602380 6744050 2330.958
"582" 599950 6744560 2911.342
"583" 602020 6743060 2187.184
"584" 600550 6743870 2765.065
"585" 602230 6742730 2107.503
"586" 602050 6743720 2283.092
"587" 600760 6744140 2532.292
"588" 601480 6745310 2556.86
"589" 601930 6743660 2276.432
"590" 601990 6743300 2217.675
"591" 600250 6744530 2819.742
"592" 601120 6745250 2568.57
"593" 602800 6745130 2742.333
"594" 600730 6745460 2650.587
"595" 601750 6744830 2497.08
"596" 600400 6744860 2733.611
"597" 600490 6745310 2682.665
"598" 602260 6742460 2066.954
"599" 602230 6744410 2395.468
"600" 600250 6744920 2748.987
"601" 603250 6744680 2663.235
"602" 602110 6743390 2233.406
"603" 602800 6743540 2316.613
"604" 601330 6744710 2512.805
"605" 601480 6745070 2549.423
"606" 601300 6743810 2401.914
"607" 601420 6746000 2655.681
"608" 601570 6743810 2329.354
"609" 601990 6744830 2466.639
"610" 602260 6742940 2147.824
"611" 602500 6743570 2262.252
"612" 602350 6744860 2452.897
"613" 601780 6744680 2457.925
"614" 600760 6744740 2690.003
"615" 601510 6744500 2450.435
"616" 601090 6745130 2594.782
"617" 601000 6743540 2678.283
"618" 601720 6744050 2368.003
